"brand","model","cpu","ram","hdd","gpu","screen","price"
"ADATA","XPG Xenia 15 KC","Intel Core i7 11800H","32","1024","GeForce® RTX 3070","15","164516"
"MSI","GP Leopard 11UG-877XRU","Intel Core i7 11800H","16","1024","GeForce® RTX 3070","17","211080"
"MSI","GP Leopard 11UG-876RU","Intel Core i7 11800H","16","1024","GeForce® RTX 3070","17","236936"
"Maibenben","MECHREVO X558 ","AMD Ryzen 7 5800H","16","512","GeForce® RTX 3060","15","130214"
"HP","Victus 16-e0504nw ","AMD Ryzen 7 5800H","16","512","GeForce® RTX 3060","16","143918"
"ASUS","TUF Gaming A15 FA506QM-HN128","AMD Ryzen 7 5800H","16","1024","GeForce® RTX 3060","15","150989"
"HP","Victus 16-e0194nw ","AMD Ryzen 7 5800H","16","512","GeForce® RTX 3060","16","155760"
"ASUS","TUF Gaming A15 FX506QM-HN053","AMD Ryzen 7 5800H","16","512","GeForce® RTX 3060","15","134426"
"ASUS","TUF Gaming F15 FX506QM-HN053W","AMD Ryzen 7 5800H","16","512","GeForce® RTX 3060","15","137228"
"Lenovo","15ACH6H  ","AMD Ryzen 7 5800H","16","512","GeForce® RTX 3060","15","149826"
"Lenovo","15ACH6  ","AMD Ryzen 7 5800H","16","1024","GeForce® RTX 3060","15","150351"
"Lenovo","Legion Slim 7 15ACH6","AMD Ryzen 7 5800H","16","1024","GeForce® RTX 3060","15","170565"
"Lenovo","Legion Slim 7 15ACH6","AMD Ryzen 7 5800H","16","1024","GeForce® RTX 3060","15","171650"
"ASUS","ROG Strix G15 G513RC-HN133","AMD Ryzen 7 6800H","16","512","GeForce® RTX 3050","15","167786"
"Lenovo","16ARH7  ","AMD Ryzen 7 6800H","16","512","GeForce® RTX 3050","16","133719"
"Lenovo","16ARH7  ","AMD Ryzen 7 6800H","16","1024","GeForce® RTX 3050","16","156553"
"HP","OMEN 5T920EA ","AMD Ryzen 7 5800H","16","1024","GeForce® RTX 3070","16","156377"
"Maibenben","X757 X757QSGELBRE0 ","AMD Ryzen 7 5800H","16","1024","GeForce® RTX 3070","17","149140"
"Maibenben","X757 X757QSFELBRE0 ","AMD Ryzen 7 5800H","16","512","GeForce® RTX 3070","17","154166"
"HP","Victus 16-e0077ur ","AMD Ryzen 5 5600H","8","512","GeForce® RTX 3060","16","135145"
"HP","Victus 16-e0080ur ","AMD Ryzen 5 5600H","8","512","GeForce® RTX 3060","16","148348"
"Lenovo","Legion Slim 7 15ACH6","AMD Ryzen 5 5600H","16","1024","GeForce® RTX 3060","15","126319"
"MSI","Katana GF66 11UE-893XBY","Intel Core i7 11800H","16","512","GeForce® RTX 3060","15","170335"
"Lenovo","15ITH6H  ","Intel Core i7 11800H","16","512","GeForce® RTX 3060","15","166083"
"MSI","Creator Fujiwara-410RU ","Intel Core i7 11800H","16","512","GeForce® RTX 3060","16","194718"
"HP","Victus 16-e0076ur ","AMD Ryzen 5 5600H","16","1024","GeForce® RTX 3050 Ti","16","167599"
"HP","Victus 16-e0088ur ","AMD Ryzen 5 5600H","16","512","GeForce® RTX 3050 Ti","16","140425"
"HP","Victus by HP Laptop","AMD Ryzen 5 5600H","8","512","GeForce® RTX 3050 Ti","16","87793"
"HP","Victus by HP Laptop","AMD Ryzen 5 5600H","8","512","GeForce® RTX 3050 Ti","16","91644"
"Lenovo","Legion Slim 7 15ACH6","AMD Ryzen 5 5600H","16","512","GeForce® RTX 3050 Ti","15","109888"
"ASUS","TUF Gaming A15 FA507RE-HN022","AMD Ryzen 7 6800H","16","512","GeForce® RTX 3050 Ti","15","156862"
"ASUS","TUF Gaming A15 FA507RE-HN063","AMD Ryzen 7 6800H","16","512","GeForce® RTX 3050 Ti","15","127480"
"HP","ProBook 450 G8","Intel Core i5 1135G7","8","256","GeForce® MX450","15","96191"
"HIPER","DZEN 7QEKD4OD ","Intel Core i5 1135G7","16","512","GeForce® MX450","15","78743"
"HIPER","DZEN 7QEKH4OD ","Intel Core i5 1135G7","16","512","GeForce® MX450","15","78769"
"HIPER","NOTEBOOK H1579O5DV165WM ","Intel Core i5 1135G7","16","512","GeForce® MX450","15","100032"
"ASUS","ROG Strix G17 G713RM-KH099","AMD Ryzen 7 6800H","16","1024","GeForce® RTX 3060","17","202452"
"ASUS","ROG Strix G15 G513RM-HQ168","AMD Ryzen 7 6800H","16","1024","GeForce® RTX 3060","15","206191"
"DREAM","MACHINES RT3060-15EU50 ","AMD Ryzen 7 6800H","16","1024","GeForce® RTX 3060","15","158025"
"DREAM","MACHINES RT3060-15EU51 ","AMD Ryzen 7 6800H","32","1024","GeForce® RTX 3060","15","168536"
"Lenovo","15ARH7H  ","AMD Ryzen 7 6800H","32","1024","GeForce® RTX 3060","15","174870"
"Lenovo","16ARH7H  ","AMD Ryzen 7 6800H","16","1024","GeForce® RTX 3060","16","182657"
"Lenovo","15ARH7H  ","AMD Ryzen 7 6800H","32","1024","GeForce® RTX 3060","15","191361"
"Lenovo","16ARH7H  ","AMD Ryzen 7 6800H","32","1024","GeForce® RTX 3060","16","212479"
